filename,width,height,class,xmin,ymin,xmax,ymax
add2 (32).jpg,720,720,const,451,401,491,439
add2 (32).jpg,720,720,inter,545,415,580,448
add2 (30).jpg,720,720,const,291,262,385,326
add2 (30).jpg,720,720,inter,458,317,564,398
add (2).JPG,720,720,bicycle,402,259,525,346
add (2).JPG,720,720,const,196,236,293,306
add (1).JPG,720,720,const,373,244,519,356
add (40).JPG,720,720,bicycle,260,319,486,446
add (11).JPG,720,720,const,153,233,276,334
add (11).JPG,720,720,bicycle,547,309,720,442
add2 (31).jpg,720,720,const,298,253,390,324
add2 (31).jpg,720,720,inter,429,312,521,395
inter (27).jpg,720,720,inter,267,107,423,197
inter (41).jpg,720,720,inter,172,171,549,551
inter (50).jpg,720,720,inter,78,99,133,162
inter (21).jpg,720,720,inter,100,88,333,420
inter (36).jpg,720,720,inter,77,574,139,654
const (49).jpg,720,720,const,261,301,375,405
const (61).jpg,720,720,const,289,161,341,209
const (61).jpg,720,720,const,53,153,105,203
const (61).jpg,720,720,const,145,441,187,493
const (61).jpg,720,720,const,351,585,387,625
const (51).jpg,720,720,const,135,391,217,445
inter (47).jpg,720,720,inter,289,280,406,406
inter (33).jpg,720,720,inter,224,281,489,554
const (41).jpg,720,720,const,79,313,247,417
inter (32).jpg,720,720,inter,187,183,532,544
inter (22).jpg,720,720,inter,382,307,546,540
const (82).jpg,720,720,const,215,249,465,429
const (72).jpg,720,720,const,377,253,489,369
const (84).jpg,720,720,const,175,299,521,571
w (10).jpg,720,720,inter,313,273,402,361
const (79).jpg,720,720,const,237,355,499,497
inter (40).jpg,720,720,inter,434,100,602,496
const (68).jpg,720,720,const,281,235,371,345
inter (45).jpg,720,720,inter,300,382,424,567
const (63).jpg,720,720,const,257,355,429,509
inter (37).jpg,720,720,inter,46,179,168,327
const (39).jpg,720,720,const,345,251,443,337
const (58).jpg,720,720,const,301,211,427,311
inter (28).jpg,720,720,inter,514,333,561,396
const (70).jpg,720,720,const,269,197,339,273
inter (20).jpg,720,720,inter,132,115,572,440
inter (52).jpg,720,720,inter,73,314,136,390
const (21).jpg,720,720,const,117,337,202,405
const (21).jpg,720,720,const,475,325,562,396
const (71).jpg,720,720,const,115,271,269,365
inter (38).jpg,720,720,inter,36,137,166,583
inter (39).jpg,720,720,inter,333,89,396,254
const (36).jpg,720,720,const,223,293,491,403
const (26).jpg,720,720,const,137,359,538,720
const (73).jpg,720,720,const,111,227,249,325
const (73).jpg,720,720,const,485,237,595,325
inter (56).jpg,720,720,inter,325,226,498,493
const (33).jpg,720,720,const,173,373,539,601
const (57).jpg,720,720,const,195,275,467,551
inter (26).jpg,720,720,inter,407,261,573,503
const (29).jpg,720,720,const,113,237,253,327
const (29).jpg,720,720,const,479,233,615,335
inter (43).jpg,720,720,inter,365,187,588,496
const (37).jpg,720,720,const,187,239,433,547
const (35).jpg,720,720,const,349,123,693,539
const (69).jpg,720,720,const,399,165,489,263
const (75).jpg,720,720,const,265,191,347,275
const (76).jpg,720,720,const,287,327,443,435
const (43).jpg,720,720,const,231,155,385,309
inter (48).jpg,720,720,inter,240,207,471,394
inter (63).jpg,720,720,inter,39,345,75,387
inter (19).jpg,720,720,inter,98,96,626,626
const (34).jpg,720,720,const,291,275,509,495
const (40).jpg,720,720,const,221,251,511,509
const (80).jpg,720,720,const,209,239,615,615
const (32).jpg,720,720,const,375,91,717,239
inter (68).jpg,720,720,inter,175,156,563,543
inter (67).jpg,720,720,inter,227,228,498,483
const (78).jpg,720,720,const,287,109,437,227
const (30).jpg,720,720,const,215,365,501,571
const (60).jpg,720,720,const,211,275,583,605
inter (51).jpg,720,720,inter,251,439,476,623
const (38).jpg,720,720,const,339,245,611,565
const (62).jpg,720,720,const,145,353,231,457
const (50).jpg,720,720,const,279,235,389,343
inter (69).jpg,720,720,inter,269,299,477,434
inter (29).jpg,720,720,inter,245,188,401,458
inter (46).jpg,720,720,inter,301,390,427,564
const (67).jpg,720,720,const,141,257,553,571
const (81).jpg,720,720,const,213,317,507,535
const (23).jpg,720,720,const,103,293,211,395
const (23).jpg,720,720,const,427,307,511,387
const (19).jpg,720,720,const,397,269,502,346
const (52).jpg,720,720,const,309,263,421,357
const (53).jpg,720,720,const,273,307,407,385
const (77).jpg,720,720,const,289,331,427,425
const (31).jpg,720,720,const,303,337,365,423
const (74).jpg,720,720,const,195,283,533,581
const (65).jpg,720,720,const,125,359,187,423
const (65).jpg,720,720,const,251,373,305,423
const (65).jpg,720,720,const,453,357,531,427
const (47).jpg,720,720,const,211,269,373,449
inter (16).jpg,720,720,inter,27,37,153,209
inter (42).jpg,720,720,inter,180,132,555,523
const (45).jpg,720,720,const,223,359,491,543
inter (49).jpg,720,720,inter,268,465,439,625
const (48).jpg,720,720,const,218,181,511,397
w (1).jpg,720,720,bicycle,71,326,392,617
inter (24).jpg,720,720,inter,256,168,485,492
inter (34).jpg,720,720,inter,304,44,411,158
const (22).jpg,720,720,const,99,325,197,397
const (22).jpg,720,720,const,439,333,497,401
inter (53).jpg,720,720,inter,72,88,145,161
inter (15).jpg,720,720,inter,288,293,429,538
const (66).jpg,720,720,const,271,261,365,351
const (24).jpg,720,720,const,87,263,218,350
const (85).jpg,720,720,const,275,313,343,401
const (42).jpg,720,720,const,279,255,443,391
const (54).jpg,720,720,const,291,175,419,265
const (55).jpg,720,720,const,215,277,489,409
const (59).jpg,720,720,const,105,217,251,305
const (59).jpg,720,720,const,437,201,515,309
inter (30).jpg,720,720,inter,252,161,454,406
const (44).jpg,720,720,const,275,223,427,343
const (20).jpg,720,720,const,294,265,365,365
inter (35).jpg,720,720,inter,488,80,646,322
const (18).jpg,720,720,const,350,301,602,427
inter (17).jpg,720,720,inter,150,188,336,430
inter (25).jpg,720,720,inter,551,56,638,172
const (28).jpg,720,720,const,301,275,389,385
const (83).jpg,720,720,const,235,219,465,359
inter (18).jpg,720,720,inter,401,100,655,396
const (64).jpg,720,720,const,261,271,411,385
inter (15).jpg,720,720,inter,289,290,430,535
const (56).jpg,720,720,const,227,315,333,403
inter (54).jpg,720,720,inter,67,244,127,411
const (46).jpg,720,720,const,327,255,411,311
inter (44).jpg,720,720,inter,255,441,467,623
w (103).jpg,720,720,inter,402,255,517,365
const (25).jpg,720,720,const,223,251,498,448
const (27).jpg,720,720,const,251,251,379,359
inter (31).jpg,720,720,inter,416,249,614,535
w (27).jpg,720,720,inter,409,301,437,333
w (41).jpg,720,720,bicycle,317,315,370,365
w (235).jpg,720,720,bicycle,34,168,699,496
w (239).jpg,720,720,bicycle,99,196,623,622
w (79).jpg,720,720,const,575,291,609,324
